X,Y,FNO,F_NAME,HMIS_,PROV,DIST,DIVISION,LOCATION,SUB_LOCATI,LONG,LAT,SPATIAL_RE,F_TYPE,AGENCY,N14,N15
36.70945,-0.984242,54,NDURIRI DISP,,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,36.709450,-0.984242,1:50000 MAPS,4,MISS,,
36.70901,-0.984685,55,NDURIRI DISP,3974,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,36.709010,-0.984685,1:50000 MAPS,4,MOH,,
36.617117,-1.069369,56,NGARARIGA MISSION DISP,3100,CENTRAL,KIAMBU,LIMURU,LIMURU,BIBIRIONI,36.617117,-1.069369,1:50000 MAPS,4,MISS,,
36.670303,-1.169356,57,NGECHA ORTHODOX  DISP,,CENTRAL,KIAMBU,LIMURU,NGECHA,NGECHA,36.670303,-1.169356,SUBLOC CENTROID,4,MISS,,
36.863964,-1.092343,58,NGEWA HEALTH CENTRE,243,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,NYAGA,36.863964,-1.092343,1:50000 MAPS,3,MOH,,
36.8716,-1.10326,59,NYAGA HEALTH CENTRE,,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,NYAGA,36.871600,-1.103260,DDP,3,MOH,,
36.7031,-1.20204,60,NYATHUNA HEALTH CENTRE,260,CENTRAL,KIAMBU,KIKUYU,NYATHUNA,KIRANGARI(KIAMBU),36.703100,-1.202040,DDP,3,MOH,,
36.87118,-1.049952,61,P.C.E.A GATHIRUINI DISP,,CENTRAL,KIAMBU,GITHUNGURI,KOMOTHAI,KIBICHOI,36.871180,-1.049952,SUBLOC CENTROID,4,MISS,,
36.6667,-1.26667,62,P.C.E.A. KIKUYU HOSPITAL,2441,CENTRAL,KIAMBU,KIKUYU,KIKUYU,KIKUYU TOWNSHIP,36.666700,-1.266670,DDP,1,MISS,,
36.661129,-0.790616,63,RAGIA FOREST DISP,225,CENTRAL,KIAMBU,LARI,KAMAE,KAMAE,36.661129,-0.790616,ILRI VILLAGES,4,MOH,,
36.6759,-0.791728,64,RAGIA HEALTH CENTRE,2449,CENTRAL,KIAMBU,LARI,KAMAE,KAMAE,36.675900,-0.791728,DDP,3,MOH,,
36.6,-1.18,65,THIGIO MISSION DISP,227,CENTRAL,KIAMBU,LIMURU,NDEIYA,THIGIO(KIAMBU),36.600000,-1.180000,ILRI VILLAGES,4,MISS,,
36.6493,-1.12859,66,TIGONI SUB-DISTRICT HOSPITAL,257,CENTRAL,KIAMBU,LIMURU,TIGONI,ITHANJI(KIAMBU),36.649300,-1.128590,DDP,1,MOH,,
36.8083,-1.13366,67,TIN'GAN'GA DISP,229,CENTRAL,KIAMBU,KIAMBAA,TING'ANG'A,TING'ANG'A,36.808300,-1.133660,DDP,4,MISS,,
36.6778,-1.04691,68,UPLANDS DISP,230,CENTRAL,KIAMBU,LARI,LARI,GITHIRIONI,36.677800,-1.046910,DDP,4,MOH,,
36.7086,-1.2526,69,UTHIRU DISP,231,CENTRAL,KIAMBU,KIKUYU,KINOO,UTHIRU(KIAMBU),36.708600,-1.252600,1:50000 MAPS,4,MOH,,
36.7261,-1.21737,70,WANGIGE HEALTH CENTRE,249,CENTRAL,KIAMBU,KIKUYU,NYATHUNA,KARURA(KIKUYU),36.726100,-1.217370,1:50000 MAPS,3,MOH,,
37.2305,-0.563405,1,BARICHO HEALTH CENTRE,297,CENTRAL,KIRINYAGA,NDIA,MWERUA,KIANJANG'A,37.230500,-0.563405,DDP,3,MOH,,
37.2387,-0.568805,2,BARICHO MISS H C,3082,CENTRAL,KIRINYAGA,NDIA,MWERUA,KIANJANG'A,37.238700,-0.568805,HD MAPS,3,MISS,,
37.351234,-0.42234,3,CASTLE FOREST DISP,3763,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,THUMAITA,37.351234,-0.422340,1:50000 MAPS,4,MOH,,
37.2597,-0.49407,4,CHRISTIAN COMMUNITY SERVICES BAS,,CENTRAL,KIRINYAGA,CENTRAL,INOI,NDIMI,37.259700,-0.494070,HD MAPS,4,MISS,,
37.3783,-0.75776,5,CIAGINI DISP,86,CENTRAL,KIRINYAGA,MWEA,THIBA,WAMUMU,37.378300,-0.757760,HD MAPS,4,MOH,,
37.400901,-0.551802,6,DIFATHAAS CATHOLIC DISP,4713,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,KAMUNYANGE,37.400901,-0.551802,1:50000 MAPS,4,MISS,,
37.4125,-0.59514,7,DIFATHAS DISP,263,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,KAMUNYANGE,37.412500,-0.595140,HD MAPS,4,MOH,,
37.4056,-0.50091,8,GACHIONGO DISP,264,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGIRIAMBU,37.405600,-0.500910,HD MAPS,4,MOH,,
37.2483,-0.48343,9,GATHAMBI DISP,265,CENTRAL,KIRINYAGA,CENTRAL,INOI,NDIMI,37.248300,-0.483430,HD MAPS,4,MOH,,
37.4391,-0.71293,10,GATHIGIRIRI DISP,266,CENTRAL,KIRINYAGA,MWEA,TEBERE,KARUKUNGU,37.439100,-0.712930,HD MAPS,4,MOH,,
,,,GATITHI DISP,,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU,,,,4,MISS,,
37.316,-0.45683,11,GATUGURA DISP,267,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,MUTIGE,37.316000,-0.456830,HD MAPS,4,MOH,,
37.3798,-0.45759,12,GATUMBI S D A DISP,268,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,THIRIKWA,37.379800,-0.457590,HD MAPS,4,MISS,,
37.284,-0.46443,13,GATWE DISP,269,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KIMANDI,37.284000,-0.464430,HD MAPS,4,MOH,,
37.38695,-0.497068,14,GIRIAMBU ACK DISP,,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGIRIAMBU,37.386950,-0.497068,SUBLOC CENTROID,4,MISS,,
37.1792,-0.62098,15,GITHUANI C P K DISP,4716,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,THIGIRICHI,37.179200,-0.620980,HD MAPS,4,MISS,,
37.3836,-0.47051,16,GITHURE DISP,4724,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,THIRIKWA,37.383600,-0.470510,HD MAPS,4,MISS,,
37.3988,-0.5237,17,JESMOND MBURI DISP,,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,MIRICHI,37.398800,-0.523700,HD MAPS,4,MISS,,
37.3175,-0.51458,18,KABARE DISP,270,CENTRAL,KIRINYAGA,GICHUGU,KABARE,KIRITINI,37.317500,-0.514580,HD MAPS,4,MOH,,
37.227,-0.63009,19,KAGIO CATHOLIC DISP,271,CENTRAL,KIRINYAGA,NDIA,MWERUA,KITHUMBU,37.227000,-0.630090,HD MAPS,4,MISS,,
37.23641,-0.47139,20,KAGUMO DISP,272,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KABARI(NDIA),37.236410,-0.471390,GPS,4,MOH,,
,,,KAGUMO LIFE GIVING DISP,,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KIRUNDA,,,,4,MISS,,
37.3099,-0.44391,21,KAMWETI DISP,274,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,NJUKU,37.309900,-0.443910,HD MAPS,4,MOH,,
37.3038,-0.66505,22,KANDONGO DISP,275,CENTRAL,KIRINYAGA,MWEA,THIBA,NGUKA,37.303800,-0.665050,HD MAPS,4,MOH,,
37.2719,-0.48951,23,KANGAITA DISP,276,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),37.271900,-0.489510,HD MAPS,4,MOH,,
37.221234,-0.582134,24,KANGARU HEALTH CENTRE,908,CENTRAL,KIRINYAGA,NDIA,MWERUA,MAITHARUI,37.221234,-0.582134,1:50000 MAPS,3,MOH,,
37.2726,-0.50243,25,KARAINI C P K DISP,4719,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),37.272600,-0.502430,HD MAPS,4,MISS,,
,,26,KARIRA HOSPITAL,391,CENTRAL,KIRINYAGA,,,,,,,1,MISS,,
37.3456,-0.45683,27,KARUMANDI DISP,277,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,KIARURI,37.345600,-0.456830,HD MAPS,4,MOH,,
37.27838,-0.49509,28,KERUGOYA CATHOLIC DISP,278,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),37.278380,-0.495090,GPS,4,MISS,,
37.27819,-0.50107,29,KERUGOYA CPK DISP,279,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),37.278190,-0.501070,GPS,4,MISS,,
37.2805,-0.50132,30,KERUGOYA DISTRICT HOSPITAL,301,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),37.280500,-0.501320,GPS,1,MOH,,
37.4018,-0.47279,31,KIAMUTUGU HEALTH CENTRE,280,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGERWE,37.401800,-0.472790,HD MAPS,3,MOH,,
37.3,-0.48,32,KIANDAI ACK DISP,4721,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,GACHIGI,37.300000,-0.480000,ILRI VILLAGES,4,MISS,,
37.2073,-0.48115,33,KIANGAI DISP,281,CENTRAL,KIRINYAGA,NDIA,MUKURE,MUKURE,37.207300,-0.481150,HD MAPS,4,MOH,,
37.3129,-0.49635,34,KIANG'OMBE DISP,282,CENTRAL,KIRINYAGA,GICHUGU,KABARE,KIRITINI,37.312900,-0.496350,HD MAPS,4,MOH,,
37.1624,-0.5883,35,KIANJEGE DISP,283,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,NYANGIO,37.162400,-0.588300,HD MAPS,4,MOH,,
37.3296,-0.50091,36,KIANYAGA H C,299,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,GATU,37.329600,-0.500910,HD MAPS,3,MOH,,
37.3426,-0.51079,37,KIANYAGA MISS H C,3081,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,RWAMBITI,37.342600,-0.510790,HD MAPS,3,MISS,,
37.2035,-0.51231,38,KIARAGANA DISP,284,CENTRAL,KIRINYAGA,NDIA,MUKURE,KANYOKORA,37.203500,-0.512310,HD MAPS,4,MOH,,
37.1495,-0.55638,39,KIBIRIGWI DISP,285,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,NYANGIO,37.149500,-0.556380,HD MAPS,4,MOH,,
37.3651,-0.61705,40,KIMBIMBI HEALTH CENTRE,300,CENTRAL,KIRINYAGA,MWEA,NYANGATI,NYANGATI,37.365100,-0.617050,GPS,3,MOH,,
,,,KIUMBU DISP,,CENTRAL,KIRINYAGA,NDIA,INOI,THAITA,,,,4,MISS,,
37.474,-0.72129,41,KIUMBUINI DISP,286,CENTRAL,KIRINYAGA,MWEA,TEBERE,KARUKUNGU,37.474000,-0.721290,HD MAPS,4,MOH,,
37.32517,-0.56432,42,KUTUS CATHOLIC DISP,4714,CENTRAL,KIRINYAGA,CENTRAL,KUTUS,KAMUIGUA,37.325170,-0.564320,GPS,4,MISS,,
,,,MAGDALENE ACK DISP,,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,NYANGENI,,,,4,MISS,,
37.4,-0.48,43,MBIRI ACK DISP,4727,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGERWE,37.400000,-0.480000,ILRI VILLAGES,4,MISS,,
37.29279,-0.52252,44,MBURI ACK DISP,4729,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAITHERI,37.292790,-0.522520,1:50000 MAPS,4,MISS,,
,,,MT KENYA EAST ACK DISP,,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,NYANGENI,,,,4,MISS,,
37.30495,-0.432433,45,MUGUMO (ACK) DISP,4720,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,NJUKU,37.304950,-0.432433,1:50000 MAPS,4,MISS,,
37.4634,-0.67797,46,MUMBUINI DISP,3860,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MIUU,37.463400,-0.677970,HD MAPS,4,MOH,,
37.254,-0.621,47,MUNGANGA CPK DISP,289,CENTRAL,KIRINYAGA,NDIA,MWERUA,KITHUMBU,37.254000,-0.621000,ILRI MKT CENTRES,4,MISS,,
37.44077,-0.57294,48,MURINDUKO DISP,3035,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MUGAMBA-CIURA,37.440770,-0.572940,GPS,4,MOH,,
37.3038,-0.73269,49,MUTHITHI DISP,290,CENTRAL,KIRINYAGA,MWEA,MUTITHI,KABIRIRI,37.303800,-0.732690,HD MAPS,4,MOH,,
37.23,-0.48,50,MUTIRA ACK DISP,4718,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KAGUMO(KIRINYAGA),37.230000,-0.480000,ILRI VILLAGES,4,MISS,,
,,,MUTITHI DISP,,CENTRAL,KIRINYAGA,MWEA,TEBERE,KIARUKUNGU,,,,4,MOH,,
37.34924,-0.66137,52,MWEA MISS HOSPITAL,302,CENTRAL,KIRINYAGA,MWEA,THIBA,NGUKA,37.349240,-0.661370,GPS,1,MISS,,
,,,NGARIAMA DISP,,CENTRAL,KIRINYAGA,MWEA,MUTITHI,WAMUMU,,,,4,MOH,,
37.3828,-0.50167,53,NGIRIAMBU DISP,4728,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGIRIAMBU,37.382800,-0.501670,HD MAPS,4,MISS,,
37.316,-0.68633,54,NGUKA DISP,292,CENTRAL,KIRINYAGA,MWEA,THIBA,THIBA,37.316000,-0.686330,HD MAPS,4,MOH,,
37.2924,-0.70913,55,NJEGAS DISP,293,CENTRAL,KIRINYAGA,MWEA,MUTITHI,KABIRIRI,37.292400,-0.709130,HD MAPS,4,MOH,,
37.2187,-0.67113,56,SAGANA H C,304,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,SAGANA(KIRINYAGA),37.218700,-0.671130,HD MAPS,3,MOH,,
37.2308,-0.65213,57,SAGANA MISS DISP,294,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,SAGANA(KIRINYAGA),37.230800,-0.652130,HD MAPS,4,MISS,,
37.3258,-0.51838,58,ST ANDREWS MBIRI DISP,3972,CENTRAL,KIRINYAGA,GICHUGU,KABARE,KIRITINI,37.325800,-0.518380,HD MAPS,4,MISS,,
37.262,-0.72281,59,ST LUKE'S MUNGAGA DISP,,CENTRAL,KIRINYAGA,MWEA,MUTITHI,RUKANGA(KIRINYAGA),37.262000,-0.722810,HD MAPS,4,MISS,,
,,60,ST LUKES MURIGARIGA DISP,,CENTRAL,KIRINYAGA,,,,,,,4,MISS,,
,,,ST TERESA DISP,,CENTRAL,KIRINYAGA,MWEA,MUTITHI,WAMUMU,,,,4,MOH,,
37.3327,-0.70457,61,THIBA DISP,295,CENTRAL,KIRINYAGA,MWEA,THIBA,THIBA,37.332700,-0.704570,HD MAPS,4,MOH,,
37.3585,-0.43935,62,THUMAITA DISP,4723,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,THUMAITA,37.358500,-0.439350,HD MAPS,4,MISS,,
36.852509,-0.739723,1,AIC MUNUNGA DISP,389,CENTRAL,MARAGUA,KIGUMO,KINYONA,GACHARAGE(KIGUMO),36.852509,-0.739723,ILRI MKT CENTRES,4,MISS,,
37.19762,-0.9064,2,DON BOSCO MAKUYU DISP,4162,CENTRAL,MARAGUA,MAKUYU,MAKUYU,GAKUNGU,37.197620,-0.906400,GPS,4,MISS,,
36.977445,-0.852765,3,GAICHANJIRU MISSION HOSPITAL,388,CENTRAL,MARAGUA,KANDARA,ITHIRU,GAKUI/KARIMAMWARO,36.977445,-0.852765,DHMT,1,MISS,,
36.9013,-0.761775,4,GIKOE DISP,315,CENTRAL,MARAGUA,KIGUMO,KINYONA,KAMUKABI,36.901300,-0.761775,1:50000 MAPS,4,MOH,,
36.9,-0.82,5,GITHUMU HEALTH CENTRE,,CENTRAL,MARAGUA,KANDARA,RUCHU,GITHUMU,36.900000,-0.820000,ILRI VILLAGES,3,MISS,,
36.8668,-0.81464,6,GITURU DISP,320,CENTRAL,MARAGUA,KANDARA,RUCHU,GITURU,36.866800,-0.814640,1:50000 MAPS,4,MISS,,
37.070665,-0.816915,7,ICHAGAKI HEALTH CENTRE,390,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,ICHAGAKI,37.070665,-0.816915,DHMT,3,MISS,,
37.080265,-0.891818,,KAGUMOINI DISP,,CENTRAL,MARAGUA,KANDARA,GAICHANJIRU,KAGUMOINI(MARAGUA),37.080265,-0.891818,DHMT,4,MOH,,
36.96123,-0.881234,8,KAGUTHI DISP,2710,CENTRAL,MARAGUA,KANDARA,ITHIRU,KAGUTHI,36.961230,-0.881234,1:50000 MAPS,4,MOH,,
37.07856,-0.85942,9,KAGWATHI SDA DISP,,CENTRAL,MARAGUA,MARAGUA,KAHUMBU,MUGUMOINI(MARAG),37.078560,-0.859420,GPS,4,MISS,,
37.17814,-0.84289,10,KAMAHUHA DISP,328,CENTRAL,MARAGUA,MAKUYU,KAMAHUHA,KAMAHUHA,37.178140,-0.842890,GPS,4,MOH,,
37.25123,-0.812354,11,KAMBITI DISP,3367,CENTRAL,MARAGUA,MAKUYU,KAMBITI,KAMBITI(MARAGUA),37.251230,-0.812354,1:50000 MAPS,4,MOH,,
36.976049,-0.785806,,KAMUNGANGA DISP,4844,CENTRAL,MARAGUA,KIGUMO,KIGUMO,GACHOCHO,36.976049,-0.785806,DHMT,4,MISS,,
37.038699,-0.897239,12,KANDARA HEALTH CENTRE,377,CENTRAL,MARAGUA,KANDARA,MURUKA,GATITU/NGUTHIRU,37.038699,-0.897239,DHMT,3,MOH,,
36.797738,-0.781589,,KANDERENDU DISP,,CENTRAL,MARAGUA,KIGUMO,KANGARI,MAKOMBOKI,36.797738,-0.781589,DHMT,4,MOH,,
